index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
1.0,Helene Mitchell,0,Emerald,2,2.0,1,3.63,1379.0,2298.33,1358.0,-40.0,1778.5198,14.0,15.0,Ideal,D,VVS2,0.6,GIA,1585.0
1.0,Jane Brear,0,Emerald,1,2.0,0,6.09,2343.0,3905.0,2308.0,-13.0,2058.3391,15.0,15.0,Ideal,D,VVS2,0.6,GIA,1585.0
1.0,Michelle Kennedy,0,Emerald,1,1.0,0,6.3,1525.0,2541.67,1502.0,-32.0,1711.0647,15.0,15.0,Ideal,D,VVS2,0.6,GIA,1585.0
1.0,Vaari’s Workshop,0,Emerald,1,2.0,1,5.94,1183.0,1971.67,1165.0,-44.0,1627.0596,14.0,15.0,Ideal,D,VVS2,0.6,GIA,1585.0
2.0,Helene Mitchell,0,Emerald,1,1.0,0,1.05,1730.0,2402.78,1704.0,-43.0,2314.647,15.0,15.0,Ideal,F,VS2,0.72,GIA,2272.0
2.0,Michelle Kennedy,0,Emerald,1,2.0,0,6.39,1816.0,2522.22,1789.0,-48.0,2686.5161,15.0,15.0,Ideal,F,VS2,0.72,GIA,2272.0
2.0,Sevilla Stones,0,Emerald,1,1.0,1,0.9,1418.0,1969.44,1397.0,-51.0,2241.6262,15.0,15.0,Ideal,F,VS2,0.72,GIA,2272.0
3.0,Alice Designs Jewelry,0,Round,1,1.0,0,13.64,2493.0,3561.43,2456.0,-56.0,4839.9736,17.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,H & Co.,0,Round,1,1.0,0,7.5,2809.0,4012.86,2767.0,-50.0,4794.3857,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Helene Mitchell,0,Round,1,1.0,0,10.86,2622.0,3745.71,2583.0,-50.0,4463.9531,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Jane Brear,0,Round,1,2.0,0,14.61,2662.0,3802.86,2622.0,-52.0,4662.3125,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Mark & Mason,0,Round,1,1.0,0,14.17,2602.0,3717.14,2563.0,-49.0,4314.8457,17.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Michelle Kennedy,0,Round,1,1.0,0,2.32,3253.0,4647.14,3204.0,-39.0,4525.7661,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Rya Diamonds,0,Round,1,1.0,1,18.08,2093.0,2990.0,2062.0,-58.0,4224.998,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,Temperley,0,Round,1,1.0,0,0.73,2614.0,3734.29,2575.0,-52.0,4620.6543,18.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
3.0,White Lily,0,Round,1,1.0,0,0.23,2508.0,3582.86,2470.0,-55.0,4691.8369,17.0,18.0,Ideal,F,IF,0.7,GIA,4040.0
4.0,Jane Brear,0,Round,1,2.0,3,6.91,1678.0,1823.91,1653.0,-61.0,3655.1914,17.0,18.0,Super Ideal,F,SI2,0.92,GIA,3885.0
4.0,Le Trésor,0,Round,1,1.0,0,8.11,2461.0,2675.0,2424.0,-37.0,3302.302,18.0,18.0,Super Ideal,F,SI2,0.92,GIA,3885.0
5.0,Alice Designs Jewelry,0,Pear,2,2.0,1,1.08,565.0,1883.33,557.0,-32.0,658.0449,15.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Allen Thomas,0,Pear,1,1.0,2,6.5,516.0,1720.0,508.0,-29.0,573.6145,12.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Helene Mitchell,0,Pear,2,2.0,0,3.05,584.0,1946.67,575.0,-34.0,694.6679,15.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Jane Brear,0,Pear,1,2.0,0,2.8,867.0,2890.0,854.0,3.0,660.6208,14.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Michelle Kennedy,0,Pear,1,3.0,1,6.29,583.0,1943.33,574.0,-21.0,581.7391,13.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Sevilla Stones,0,Pear,2,2.0,0,4.67,494.0,1646.67,487.0,-39.0,636.8253,13.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,Temperley,0,Pear,3,3.0,0,6.18,498.0,1660.0,491.0,-32.0,577.6187,11.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
5.0,White Lily,0,Pear,2,3.0,0,7.85,391.0,1303.33,385.0,-50.0,612.5504,11.0,15.0,Very Good,D,VS1,0.3,GIA,701.67
6.0,Alice Designs Jewelry,0,Pear,1,2.0,1,5.49,994.0,1988.0,979.0,-34.0,1183.188,15.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Constellation,0,Pear,1,2.0,1,7.06,801.0,1602.0,789.0,-46.0,1167.3096,14.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Diamonds by Marie,0,Pear,3,3.0,0,11.67,702.0,1404.0,691.0,-57.0,1280.179,13.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Eclipse Diamonds,0,Pear,2,3.0,0,6.83,1004.0,2008.0,989.0,-37.0,1252.7521,13.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Helene Mitchell,0,Pear,1,2.0,0,9.61,935.0,1870.0,921.0,-42.0,1264.8198,14.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Jane Brear,0,Pear,1,2.0,0,,1618.0,3236.0,1594.0,-9.0,1402.6095,15.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Mark & Mason,0,Pear,1,2.0,0,7.12,868.0,1736.0,855.0,-46.0,1262.672,13.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Michelle Kennedy,0,Pear,2,3.0,4,6.76,833.0,1666.0,821.0,-39.0,1069.7601,14.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
6.0,Temperley,0,Pear,2,1.0,0,6.29,1522.0,3044.0,1499.0,-11.0,1346.3307,14.0,15.0,Very Good,E,VS2,0.5,GIA,1257.5
7.0,Eclipse Diamonds,0,Round,1,1.0,0,6.53,5673.0,4650.0,5588.0,-50.0,9499.3027,18.0,18.0,Super Ideal,G,VS2,1.22,GIA,8940.0
7.0,Temperley,0,Round,1,1.0,0,6.82,6857.0,5620.49,6754.0,-40.0,9735.8076,18.0,18.0,Super Ideal,G,VS2,1.22,GIA,8940.0
9.0,Alice Designs Jewelry,0,Round,2,2.0,0,9.16,380.0,1225.81,374.0,-38.0,518.6066,16.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
9.0,Helene Mitchell,0,Round,1,2.0,1,8.8,312.0,1006.45,307.0,-44.0,470.4581,15.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
9.0,Jane Brear,0,Round,1,2.0,0,12.9,329.0,1061.29,324.0,-45.0,506.1217,14.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
9.0,Michelle Kennedy,0,Round,1,1.0,0,14.24,340.0,1096.77,335.0,-44.0,509.2297,14.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
9.0,Temperley,0,Round,2,1.0,1,11.88,479.0,1545.16,472.0,-25.0,541.4122,15.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
9.0,White Lily,0,Round,1,1.0,0,7.1,380.0,1225.81,374.0,-40.0,535.7011,16.0,18.0,Very Good,I,VS1,0.31,GIA,570.0
11.0,Diamanta,0,Round,1,1.0,0,7.07,992.0,1837.04,977.0,-49.0,1640.3499,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Helene Mitchell,0,Round,1,1.0,1,7.94,802.0,1485.19,790.0,-53.0,1457.7556,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Isabel Ervin,0,Round,1,1.0,0,6.27,1194.0,2211.11,1176.0,-33.0,1513.592,17.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Jane Brear,0,Round,1,1.0,1,5.48,1202.0,2225.93,1184.0,-30.0,1452.0875,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Michelle Kennedy,0,Round,1,1.0,0,8.43,1242.0,2300.0,1223.0,-34.0,1602.4352,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Michelle's Creations,0,Round,1,1.0,0,9.68,878.0,1625.93,865.0,-52.0,1555.0504,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Sevilla Stones,0,Round,1,1.0,0,16.44,754.0,1396.3,743.0,-60.0,1598.5691,17.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,Temperley,0,Round,1,1.0,0,6.39,1194.0,2211.11,1176.0,-38.0,1621.1378,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
11.0,White Lily,0,Round,1,1.0,0,6.73,1159.0,2146.3,1142.0,-35.0,1516.4749,18.0,18.0,Super Ideal,I,VVS1,0.54,GIA,1590.0
12.0,White Lily,0,Round,2,3.0,0,6.61,948.0,1788.68,934.0,-49.0,1569.9578,15.0,18.0,Very Good,D,SI2,0.53,GIA,1300.0
13.0,Helene Mitchell,0,Princess,1,2.0,0,2.92,890.0,1711.54,877.0,-33.0,1134.8375,14.0,15.0,Ideal,G,VVS2,0.52,GIA,1420.0
13.0,Jane Brear,0,Princess,1,2.0,0,14.34,997.0,1917.31,982.0,-31.0,1224.8483,15.0,15.0,Ideal,G,VVS2,0.52,GIA,1420.0
13.0,Michelle Kennedy,0,Princess,1,2.0,0,11.44,911.0,1751.92,897.0,-37.0,1222.4424,15.0,15.0,Ideal,G,VVS2,0.52,GIA,1420.0
13.0,Phoenix Crafts,0,Princess,1,2.0,0,7.96,1011.0,1944.23,996.0,-28.0,1191.0807,15.0,15.0,Ideal,G,VVS2,0.52,GIA,1420.0
