index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
1,Helene Mitchell,0,Pear,1,1,1,9.55,1187.0,1978.33,1169.0,-45.0,1713.2603,14.0,15.0,Ideal,G,VS2,0.6,GIA,1700.0
1,Michelle Kennedy,0,Pear,2,2,1,6.27,1220.0,2033.33,1202.0,-37.0,1518.0675,15.0,15.0,Ideal,G,VS2,0.6,GIA,1700.0
3,Aurora Light,0,Round,1,1,0,,17350.0,12392.86,17090.0,-25.0,19457.4922,18.0,18.0,Super Ideal,D,VVS2,1.4,GIA,13270.0
3,Jane Brear,0,Round,1,1,3,7.24,11534.0,8238.57,11361.0,-27.0,13348.4404,18.0,18.0,Super Ideal,D,VVS2,1.4,GIA,13270.0
3,White Lily,0,Round,1,1,0,5.04,14505.0,10360.71,14287.0,-36.0,19200.8672,18.0,18.0,Super Ideal,D,VVS2,1.4,GIA,13270.0
5,Crown Jewels,0,Round,1,1,0,11.15,1429.0,1721.69,1408.0,-51.0,2490.1545,18.0,18.0,Super Ideal,I,SI1,0.83,GIA,2950.0
5,Helios Diamonds,0,Round,1,1,0,9.46,1369.0,1649.4,1348.0,-59.0,2813.8901,18.0,18.0,Super Ideal,I,SI1,0.83,GIA,2950.0
5,Michelle Kennedy,0,Round,1,1,0,6.72,1495.0,1801.2,1473.0,-46.0,2349.2214,18.0,18.0,Super Ideal,I,SI1,0.83,GIA,2950.0
5,White Lily,0,Round,1,1,3,,1268.0,1527.71,1249.0,-55.0,2401.7646,18.0,18.0,Super Ideal,I,SI1,0.83,GIA,2950.0
6,Alice Designs Jewelry,0,Round,1,1,2,3.93,1015.0,1915.09,1000.0,-45.0,1546.5724,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Andante Gemstones,0,Round,1,1,0,9.76,1016.0,1916.98,1001.0,-55.0,1924.9536,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Carnaby Facets,0,Round,1,1,0,6.98,1761.0,3322.64,1735.0,-18.0,1815.2461,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Crown Jewels,0,Round,1,1,0,2.55,1022.0,1928.3,1007.0,-50.0,1739.8868,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,H & Co.,0,Round,1,1,2,10.14,922.0,1739.62,908.0,-48.0,1490.5026,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Helene Mitchell,0,Round,1,1,0,9.13,1126.0,2124.53,1109.0,-48.0,1822.4095,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Iris Diamonds,0,Round,1,2,0,13.09,956.0,1803.77,942.0,-46.0,1484.2588,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Isabel Ervin,0,Round,1,1,1,6.85,1196.0,2256.6,1178.0,-39.0,1667.615,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Jane Brear,0,Round,1,1,0,29.53,1258.0,2373.58,1239.0,-39.0,1754.328,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Liliane Hans,0,Round,1,1,4,13.07,728.0,1373.58,717.0,-54.0,1339.7379,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Michelle Kennedy,0,Round,2,1,2,13.15,1179.0,2224.53,1161.0,-35.0,1533.6248,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Park Avenue Fine Jewelers,0,Round,1,1,0,7.93,1002.0,1890.57,987.0,-52.0,1749.0264,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Temperley,0,Round,1,1,0,8.88,1269.0,2394.34,1250.0,-41.0,1831.6827,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,Whisper Diamonds,0,Round,1,1,0,7.34,1147.0,2164.15,1130.0,-45.0,1778.5138,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
6,White Lily,0,Round,1,1,1,10.16,1388.0,2618.87,1367.0,-29.0,1651.9451,18.0,18.0,Super Ideal,G,VS1,0.53,GIA,2240.0
7,Alice Designs Jewelry,0,Marquise,1,2,0,12.74,954.0,1908.0,940.0,-46.0,1287.4711,15.0,15.0,Super Ideal,G,VS1,0.5,GIA,1565.0
