retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
mei & co,lab,pear,Excellent,Excellent,None,760.0,752.48,15.0,15.0,super ideal,F,VS2,1.01,IGI,760.0,752.48
michelle kennedy,lab,pear,Excellent,Excellent,None,790.0,782.18,15.0,15.0,super ideal,F,VS2,1.01,IGI,790.0,782.18
n. b. diamonds,lab,pear,Excellent,Excellent,None,806.0,798.02,15.0,15.0,super ideal,F,VS2,1.01,IGI,806.0,798.02
roma diamonds,lab,pear,Excellent,Excellent,None,759.0,751.49,15.0,15.0,super ideal,F,VS2,1.01,IGI,759.0,751.49
serene peaks diamonds,lab,pear,Excellent,Excellent,None,769.0,761.39,15.0,15.0,super ideal,F,VS2,1.01,IGI,769.0,761.39
sonata gems,lab,pear,Excellent,Excellent,None,783.0,775.25,15.0,15.0,super ideal,F,VS2,1.01,IGI,783.0,775.25
taiga gems,lab,pear,Excellent,Excellent,None,755.0,747.52,15.0,15.0,super ideal,F,VS2,1.01,IGI,755.0,747.52
tamara,lab,pear,Excellent,Excellent,None,783.0,775.25,15.0,15.0,super ideal,F,VS2,1.01,IGI,783.0,775.25
temperley,lab,pear,Excellent,Excellent,None,862.0,853.47,15.0,15.0,super ideal,F,VS2,1.01,IGI,862.0,853.47
vega diamonds,lab,pear,Excellent,Excellent,None,741.0,733.66,15.0,15.0,super ideal,F,VS2,1.01,IGI,741.0,733.66
white lily,lab,pear,Excellent,Very Good,None,767.0,759.41,15.0,15.0,super ideal,F,VS2,1.01,IGI,767.0,759.41
meridian crafts,lab,round,Excellent,Excellent,None,354.0,491.67,18.0,18.0,super ideal,G,VVS2,0.72,IGI,354.0,491.67
temperley,lab,round,Excellent,Excellent,None,425.0,590.28,18.0,18.0,super ideal,G,VVS2,0.72,IGI,425.0,590.28
bayside gems,lab,oval,Excellent,Excellent,None,920.0,867.92,15.0,15.0,very good,E,VVS2,1.06,IGI,920.0,867.92
clermont diamonds,lab,oval,Excellent,Excellent,None,935.0,882.08,15.0,15.0,very good,E,VVS2,1.06,IGI,935.0,882.08
ember star,lab,oval,Excellent,Excellent,None,899.52,848.6,14.0,15.0,very good,E,VVS2,1.06,IGI,899.52,848.6
