retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
michelle's creations,natural,round,Excellent,Very Good,None,480.0,1200.0,15.0,18.0,very good,I,SI2,0.4,GIA,480.0,1200.0
temperley,natural,round,Excellent,Excellent,Faint,906.0,2265.0,15.0,18.0,very good,I,SI2,0.4,GIA,906.0,2265.0
white lily,natural,round,Excellent,Excellent,None,830.0,2075.0,15.0,18.0,very good,I,SI2,0.4,GIA,830.0,2075.0
belle diamonds,natural,cushion,Excellent,Very Good,None,10453.0,6112.87,15.0,15.0,super ideal,G,VS2,1.71,GIA,10453.0,6112.87
temperley,natural,cushion,Excellent,Excellent,None,11139.0,6514.04,15.0,15.0,super ideal,G,VS2,1.71,GIA,11139.0,6514.04
alice designs jewelry,natural,marquise,Excellent,Very Good,None,1769.0,2527.14,14.0,15.0,very good,E,SI1,0.7,GIA,1769.0,2527.14
francesca,natural,marquise,Very Good,Very Good,None,2469.0,3527.14,13.0,15.0,very good,E,SI1,0.7,GIA,2469.0,3527.14
helene mitchell,natural,marquise,Excellent,Excellent,None,1504.0,2148.57,14.0,15.0,very good,E,SI1,0.7,GIA,1504.0,2148.57
isabel ervin,natural,marquise,Good,Very Good,Medium,1575.0,2250.0,14.0,15.0,very good,E,SI1,0.7,GIA,1575.0,2250.0
jane brear,natural,marquise,Excellent,Very Good,None,2958.0,4225.71,14.0,15.0,very good,E,SI1,0.7,GIA,2958.0,4225.71
michelle kennedy,natural,marquise,Excellent,Very Good,Medium,2824.0,4034.29,14.0,15.0,very good,E,SI1,0.7,GIA,2824.0,4034.29
white lily,natural,marquise,Excellent,Very Good,None,2495.0,3564.29,15.0,15.0,very good,E,SI1,0.7,GIA,2495.0,3564.29
alice designs jewelry,natural,oval,Excellent,Excellent,Strong,4718.0,4671.29,15.0,15.0,super ideal,F,VS1,1.01,GIA,4718.0,4671.29
crown jewels,natural,oval,Excellent,Excellent,None,5671.0,5614.85,15.0,15.0,super ideal,F,VS1,1.01,GIA,5671.0,5614.85
emerald bay,natural,oval,Excellent,Excellent,Medium,4068.0,4027.72,15.0,15.0,super ideal,F,VS1,1.01,GIA,4068.0,4027.72
jane brear,natural,oval,Excellent,Very Good,Faint,6997.0,6927.72,15.0,15.0,super ideal,F,VS1,1.01,GIA,6997.0,6927.72
kiara gems,natural,oval,Excellent,Excellent,None,5733.0,5676.24,15.0,15.0,super ideal,F,VS1,1.01,GIA,5733.0,5676.24
phoenix crafts,natural,oval,Excellent,Very Good,None,5588.0,5532.67,15.0,15.0,super ideal,F,VS1,1.01,GIA,5588.0,5532.67
rya diamonds,natural,oval,Excellent,Excellent,Medium,5246.0,5194.06,15.0,15.0,super ideal,F,VS1,1.01,GIA,5246.0,5194.06
white lily,natural,oval,Very Good,Very Good,None,9640.0,9544.55,15.0,15.0,super ideal,F,VS1,1.01,GIA,9640.0,9544.55
aurora light,natural,cushion,Very Good,Very Good,None,8658.0,5772.0,14.0,15.0,very good,I,VS1,1.5,GIA,8658.0,5772.0
helene mitchell,natural,cushion,Excellent,Very Good,None,4509.0,3006.0,12.0,15.0,very good,I,VS1,1.5,GIA,4509.0,3006.0
michelle kennedy,natural,cushion,Excellent,Excellent,None,7108.0,4738.67,13.0,15.0,very good,I,VS1,1.5,GIA,7108.0,4738.67
nela,natural,cushion,Excellent,Excellent,None,4650.0,3100.0,13.0,15.0,very good,I,VS1,1.5,GIA,4650.0,3100.0
temperley,natural,cushion,Excellent,Excellent,None,5560.0,3706.67,13.0,15.0,very good,I,VS1,1.5,GIA,5560.0,3706.67
vienna stones,natural,cushion,Very Good,Good,None,6261.0,4174.0,12.0,15.0,very good,I,VS1,1.5,GIA,6261.0,4174.0
white lily,natural,cushion,Excellent,Very Good,None,15163.0,10108.67,13.0,15.0,very good,I,VS1,1.5,GIA,15163.0,10108.67
belle diamonds,natural,oval,Excellent,Very Good,Faint,3443.0,3825.56,15.0,15.0,very good,E,VS1,0.9,GIA,3443.0,3825.56
helene mitchell,natural,oval,Excellent,Very Good,Faint,3436.0,3817.78,14.0,15.0,very good,E,VS1,0.9,GIA,3436.0,3817.78
kiara gems,natural,oval,Excellent,Very Good,None,3372.0,3746.67,14.0,15.0,very good,E,VS1,0.9,GIA,3372.0,3746.67
metanoia diamonds,natural,oval,Excellent,Very Good,Faint,3473.0,3858.89,15.0,15.0,very good,E,VS1,0.9,GIA,3473.0,3858.89
sevilla stones,natural,oval,Excellent,Excellent,None,3820.0,4244.44,15.0,15.0,very good,E,VS1,0.9,GIA,3820.0,4244.44
vaari’s workshop,natural,oval,Excellent,Very Good,Medium,2488.0,2764.44,15.0,15.0,very good,E,VS1,0.9,GIA,2488.0,2764.44
white lily,natural,oval,Excellent,Excellent,Medium,6501.0,7223.33,15.0,15.0,very good,E,VS1,0.9,GIA,6501.0,7223.33
alice designs jewelry,natural,pear,Excellent,Very Good,None,1174.0,2935.0,15.0,15.0,ideal,F,VVS1,0.4,GIA,1174.0,2935.0
eclipse diamonds,natural,pear,Excellent,Very Good,None,884.0,2210.0,15.0,15.0,ideal,F,VVS1,0.4,GIA,884.0,2210.0
helene mitchell,natural,pear,Excellent,Very Good,Faint,1157.0,2892.5,15.0,15.0,ideal,F,VVS1,0.4,GIA,1157.0,2892.5
jane brear,natural,pear,Excellent,Very Good,Medium,1614.0,4035.0,14.0,15.0,ideal,F,VVS1,0.4,GIA,1614.0,4035.0
michelle kennedy,natural,pear,Excellent,Very Good,Faint,1814.0,4535.0,15.0,15.0,ideal,F,VVS1,0.4,GIA,1814.0,4535.0
sorelli gems,natural,pear,Excellent,Very Good,Medium,817.0,2042.5,14.0,15.0,ideal,F,VVS1,0.4,GIA,817.0,2042.5
temperley,natural,pear,Excellent,Very Good,None,2289.0,5722.5,15.0,15.0,ideal,F,VVS1,0.4,GIA,2289.0,5722.5
white lily,natural,pear,Excellent,Very Good,None,1616.0,4040.0,15.0,15.0,ideal,F,VVS1,0.4,GIA,1616.0,4040.0
alice designs jewelry,natural,oval,Excellent,Very Good,None,4485.0,3737.5,13.0,15.0,very good,H,SI2,1.2,GIA,4485.0,3737.5
azura diamonds,natural,oval,Excellent,Very Good,None,4010.0,3341.67,11.0,15.0,very good,H,SI2,1.2,GIA,4010.0,3341.67
brienne’s creations,natural,oval,Very Good,Very Good,Medium,4136.0,3446.67,14.0,15.0,very good,H,SI2,1.2,GIA,4136.0,3446.67
henry wirth,natural,oval,Very Good,Very Good,Medium,3907.0,3255.83,13.0,15.0,very good,H,SI2,1.2,GIA,3907.0,3255.83
jane brear,natural,oval,Excellent,Very Good,None,6327.0,5272.5,12.0,15.0,very good,H,SI2,1.2,GIA,6327.0,5272.5
kiara gems,natural,oval,Excellent,Very Good,None,4673.0,3894.17,13.0,15.0,very good,H,SI2,1.2,GIA,4673.0,3894.17
le trésor,natural,oval,Excellent,Excellent,None,3521.0,2934.17,13.0,15.0,very good,H,SI2,1.2,GIA,3521.0,2934.17
michelle kennedy,natural,oval,Excellent,Very Good,None,5935.0,4945.83,12.0,15.0,very good,H,SI2,1.2,GIA,5935.0,4945.83
temperley,natural,oval,Excellent,Good,Faint,5521.0,4600.83,12.0,15.0,very good,H,SI2,1.2,GIA,5521.0,4600.83
white lily,natural,oval,Excellent,Very Good,None,5521.0,4600.83,12.0,15.0,very good,H,SI2,1.2,GIA,5521.0,4600.83
michelle kennedy,natural,pear,Very Good,Very Good,Faint,4102.0,4021.57,0.0,0.0,very good,H,SI2,1.02,GIA,4102.0,4021.57
white lily,natural,pear,Very Good,Good,None,4435.0,4348.04,11.0,15.0,very good,H,SI2,1.02,GIA,4435.0,4348.04
alice designs jewelry,natural,emerald,Excellent,Very Good,None,1405.0,2650.94,15.0,15.0,super ideal,E,VS1,0.53,GIA,1405.0,2650.94
helene mitchell,natural,emerald,Excellent,Very Good,None,1302.0,2456.6,15.0,15.0,super ideal,E,VS1,0.53,GIA,1302.0,2456.6
alice designs jewelry,natural,oval,Excellent,Very Good,None,774.0,1682.61,15.0,15.0,ideal,E,VS1,0.46,GIA,774.0,1682.61
eclipse diamonds,natural,oval,Excellent,Very Good,None,916.0,1991.3,15.0,15.0,ideal,E,VS1,0.46,GIA,916.0,1991.3
helene mitchell,natural,oval,Very Good,Very Good,None,895.0,1945.65,15.0,15.0,ideal,E,VS1,0.46,GIA,895.0,1945.65
alice designs jewelry,natural,oval,Excellent,Excellent,None,1551.0,2215.71,15.0,15.0,ideal,J,VS1,0.7,GIA,1551.0,2215.71
aurora light,natural,oval,Excellent,Very Good,Faint,1292.0,1845.71,15.0,15.0,ideal,J,VS1,0.7,GIA,1292.0,1845.71
celestine jewels,natural,oval,Excellent,Excellent,None,1236.0,1765.71,15.0,15.0,ideal,J,VS1,0.7,GIA,1236.0,1765.71
kiara gems,natural,oval,Excellent,Very Good,Faint,1258.0,1797.14,15.0,15.0,ideal,J,VS1,0.7,GIA,1258.0,1797.14
michelle kennedy,natural,oval,Very Good,Very Good,Faint,2524.0,3605.71,15.0,15.0,ideal,J,VS1,0.7,GIA,2524.0,3605.71
park avenue fine jewelers,natural,oval,Very Good,Very Good,None,1214.0,1734.29,15.0,15.0,ideal,J,VS1,0.7,GIA,1214.0,1734.29
aurora light,natural,round,Excellent,Excellent,Faint,9446.0,6094.19,18.0,18.0,ideal,H,SI2,1.55,GIA,9446.0,6094.19
jane brear,natural,round,Excellent,Excellent,None,9747.0,6288.39,18.0,18.0,ideal,H,SI2,1.55,GIA,9747.0,6288.39
white lily,natural,round,Very Good,Excellent,Very Strong,9334.0,6021.94,18.0,18.0,ideal,H,SI2,1.55,GIA,9334.0,6021.94
