cut,color,clarity,carat,report,shape,price
Ideal,E,VS2,1.5,GIA,Princess,9830.0
Good,J,SI1,0.9,GIA,Round,2255.0
Ideal,E,VVS2,0.6,GIA,Emerald,1790.0
Super Ideal,D,VVS2,1.27,GIA,Round,10100.0
Super Ideal,F,VVS2,0.81,GIA,Round,4876.25
Good,D,SI1,0.6,GIA,Pear,1350.0
Ideal,F,VS1,0.73,GIA,Cushion,2245.0
Ideal,I,SI2,2.0,GIA,Cushion,10185.0
Ideal,G,VS2,0.7,GIA,Oval,2803.33
Super Ideal,I,VS2,0.92,GIA,Cushion,3370.0
Ideal,E,SI2,1.51,GIA,Pear,8535.0
Ideal,G,VS2,0.29,GIA,Princess,500.0
Ideal,D,IF,0.31,GIA,Round,1200.0
Very Good,G,VS2,0.5,GIA,Princess,1030.0
Super Ideal,E,IF,0.28,GIA,Round,850.0
Super Ideal,H,IF,1.21,GIA,Round,8240.0
Ideal,H,SI1,0.4,GIA,Pear,740.0
Ideal,J,VS1,0.5,GIA,Heart,1120.0
Super Ideal,F,VS2,1.52,GIA,Asscher,10300.0
Ideal,G,VVS1,0.52,GIA,Emerald,1580.0
Super Ideal,J,VS1,1.0,GIA,Round,4750.0
Ideal,E,SI2,1.51,IGI,Oval,5950.0
Super Ideal,D,VVS1,1.57,GIA,Round,19540.0
Super Ideal,E,SI1,1.04,GIA,Round,7100.0
Super Ideal,I,SI1,0.72,GIA,Cushion,2080.0
Super Ideal,J,VVS1,1.08,GIA,Emerald,4050.0
Very Good,E,VVS1,0.3,GIA,Pear,700.0
Super Ideal,I,VVS1,0.44,GIA,Round,1000.0
Super Ideal,I,VVS1,0.97,GIA,Round,4870.0
Super Ideal,D,SI1,0.83,GIA,Round,3470.0
Ideal,G,IF,1.07,GIA,Pear,6800.0
Good,G,SI1,1.18,GIA,Cushion,4370.0
Super Ideal,G,VS1,1.98,GIA,Emerald,17800.0
Super Ideal,F,SI1,0.53,GIA,Round,1847.5
Ideal,J,SI1,1.2,GIA,Round,5060.0
Super Ideal,D,VS2,1.54,GIA,Round,12835.0
Ideal,E,VVS2,1.02,GIA,Pear,7750.0
Very Good,F,SI1,0.8,GIA,Round,2834.0
Super Ideal,I,VS2,1.58,GIA,Round,9170.0
Good,J,VVS1,1.04,GIA,Princess,3320.0
Very Good,F,VVS2,1.02,GIA,Round,7830.0
Good,G,VS1,0.8,GIA,Pear,3260.0
Ideal,J,VS2,1.0,GIA,Pear,2810.0
Ideal,H,VVS1,0.54,GIA,Emerald,1060.0
Super Ideal,F,SI1,1.01,GIA,Cushion,3570.0
Very Good,F,SI1,0.32,GIA,Princess,530.0
Super Ideal,E,SI2,0.54,GIA,Round,1380.0
Very Good,G,SI1,0.71,GIA,Princess,2200.0
Ideal,G,VVS1,0.72,GIA,Pear,2700.0
Super Ideal,I,SI2,2.0,GIA,Pear,13230.0
Super Ideal,D,VVS1,0.34,GIA,Emerald,920.0
Good,D,SI1,0.7,GIA,Round,2315.0
Very Good,F,SI1,0.41,GIA,Oval,846.67
Ideal,F,VS1,0.42,GIA,Marquise,880.0
Super Ideal,G,SI2,1.46,GIA,Round,7630.0
Ideal,G,VVS1,0.4,GIA,Round,1201.43
Ideal,H,VS2,0.55,GIA,Pear,1160.0
Ideal,E,SI2,2.6,IGI,Princess,12000.0
Good,H,VS1,0.6,GIA,Pear,1410.0
Good,G,VVS1,1.03,GIA,Emerald,5150.0
Ideal,F,VS2,2.01,GIA,Cushion,18260.0
Good,E,SI2,0.42,GIA,Marquise,840.0
Super Ideal,D,SI1,0.71,GIA,Round,2808.89
Ideal,F,VS1,0.53,GIA,Pear,1510.0
Very Good,D,VS2,1.0,GIA,Round,6495.38
Good,I,SI1,0.71,GIA,Princess,1630.0
Super Ideal,I,VS2,1.23,GIA,Round,6540.0
Super Ideal,E,VVS2,0.9,GIA,Round,6111.0
Super Ideal,D,VVS1,0.52,GIA,Emerald,1785.0
Super Ideal,H,SI2,0.32,GIA,Round,570.0
Super Ideal,H,IF,0.83,GIA,Round,4225.0
Super Ideal,I,SI1,0.77,GIA,Round,2615.0
Super Ideal,G,VVS1,0.26,GIA,Round,658.46
Super Ideal,I,IF,0.32,GIA,Round,670.0
Very Good,I,SI1,0.7,GIA,Asscher,1780.0
Ideal,E,SI2,0.6,GIA,Oval,1530.0
Super Ideal,F,VVS2,0.53,GIA,Round,2334.74
Ideal,F,SI2,1.21,IGI,Round,5215.0
Super Ideal,H,VVS1,2.01,GIA,Emerald,16710.0
Super Ideal,F,FL,0.6,GIA,Round,3275.0
Good,E,SI2,1.02,GIA,Heart,3840.0
Super Ideal,E,VVS2,1.18,GIA,Round,11070.0
Very Good,J,VS2,0.46,GIA,Round,796.67
Ideal,J,IF,0.3,GIA,Princess,680.0
Ideal,F,SI2,1.12,GIA,Princess,3900.0
Super Ideal,I,VS1,1.2,GIA,Round,6545.56
Ideal,G,SI2,1.0,IGI,Pear,2900.0
Super Ideal,D,VS2,1.6,GIA,Cushion,10380.0
Ideal,H,VVS2,0.6,GIA,Round,2106.67
Ideal,H,IF,0.33,GIA,Round,815.0
Ideal,H,VS2,1.6,GIA,Princess,9680.0
Ideal,E,VS1,0.41,GIA,Princess,845.0
Ideal,I,VS2,0.31,GIA,Emerald,493.33
Good,F,SI2,0.5,GIA,Princess,930.0
Ideal,G,IF,0.71,GIA,Cushion,2590.0
Very Good,H,VS1,0.45,GIA,Round,1202.73
Ideal,H,VVS2,0.59,GIA,Pear,1590.0
Super Ideal,E,VVS1,0.74,GIA,Round,3430.0
Super Ideal,F,SI1,0.9,GIA,Pear,3820.0
Ideal,F,VS2,2.0,GIA,Princess,15600.0
Very Good,I,SI1,1.01,GIA,Round,4378.0
Super Ideal,E,VVS1,1.3,GIA,Radiant,10880.0
Ideal,F,VS1,0.32,GIA,Emerald,730.0
Super Ideal,D,VS1,0.3,GIA,Oval,793.75
Super Ideal,G,VVS1,1.07,GIA,Round,7370.0
Very Good,G,VVS2,0.73,GIA,Round,2915.0
Very Good,D,VS1,0.7,GIA,Pear,2300.0
Super Ideal,E,VVS1,0.64,GIA,Round,3548.0
Good,G,VS1,0.3,GIA,Pear,580.0
Super Ideal,F,SI2,0.6,GIA,Heart,1420.0
Good,D,VVS1,0.9,GIA,Oval,5180.0
Super Ideal,F,SI1,0.75,GIA,Emerald,2120.0
Super Ideal,F,VVS1,1.58,GIA,Round,15940.0
Super Ideal,H,VVS2,0.5,GIA,Round,2049.38
Ideal,J,VS2,1.8,GIA,Oval,10830.0
Ideal,G,SI1,0.36,GIA,Princess,580.0
Ideal,J,SI2,0.9,GIA,Cushion,2460.0
Ideal,G,SI2,0.54,GIA,Princess,1010.0
Super Ideal,E,VVS1,0.57,GIA,Round,2852.86
Super Ideal,G,SI2,1.52,GIA,Round,9115.0
Super Ideal,D,VS2,1.7,GIA,Oval,16096.67
Good,F,VS2,0.71,GIA,Marquise,1970.0
Super Ideal,I,VS2,0.96,GIA,Round,4620.0
Super Ideal,H,SI1,0.51,GIA,Heart,1100.0
Super Ideal,D,IF,0.42,GIA,Round,1907.65
Very Good,G,SI1,0.56,GIA,Round,1630.0
Good,E,VS2,0.51,GIA,Emerald,1170.0
Super Ideal,J,VS1,0.65,GIA,Round,2030.0
Ideal,H,SI2,1.01,GIA,Heart,3540.0
Super Ideal,H,VVS2,1.09,GIA,Round,6290.0
Super Ideal,E,SI2,1.5,GIA,Round,9580.0
Very Good,D,VVS1,0.53,GIA,Pear,1900.0
Ideal,F,SI2,0.9,GIA,Radiant,2490.0
Ideal,H,SI1,0.52,GIA,Princess,1003.33
Super Ideal,H,VS1,1.34,GIA,Round,9195.0
Very Good,G,SI2,1.0,GIA,Marquise,3520.0
Super Ideal,D,SI2,1.41,GIA,Pear,8030.0
Very Good,D,VS2,0.5,GIA,Marquise,1450.0
Super Ideal,D,VS1,1.19,GIA,Round,12225.0
Super Ideal,D,VS1,1.28,GIA,Round,11380.0
Super Ideal,D,VS2,1.01,GIA,Cushion,5355.0
Super Ideal,D,SI2,0.96,GIA,Round,4520.0
Very Good,D,VS1,0.4,GIA,Emerald,980.0
Ideal,H,SI2,1.7,GIA,Cushion,6720.0
Super Ideal,D,VS2,0.29,GIA,Round,770.0
Super Ideal,F,VS2,1.8,GIA,Round,17355.0
Ideal,D,IF,0.43,GIA,Emerald,1070.0
Very Good,E,SI2,1.01,GIA,Marquise,3830.0
Good,E,VVS2,1.2,GIA,Cushion,5820.0
Very Good,H,SI1,0.31,GIA,Oval,550.0
Ideal,G,VS1,0.72,GIA,Pear,2550.0
Ideal,D,SI1,1.08,GIA,Cushion,4040.0
Super Ideal,J,VVS1,0.7,GIA,Round,2222.86
Super Ideal,G,VVS1,0.32,GIA,Round,887.81
Super Ideal,I,IF,0.31,GIA,Round,715.0
Very Good,F,VS2,0.33,GIA,Oval,740.0
Super Ideal,E,SI2,0.42,GIA,Round,863.33
Ideal,F,VS1,0.8,GIA,Emerald,3160.0
Good,E,VS1,0.7,GIA,Pear,2690.0
Very Good,E,VS2,0.33,GIA,Round,880.0
Very Good,D,SI2,0.96,GIA,Round,3746.67
Super Ideal,I,SI1,1.41,GIA,Round,8060.0
Super Ideal,D,SI2,1.52,GIA,Pear,8435.0
Super Ideal,I,VS1,1.22,GIA,Round,6600.0
Good,J,SI1,2.0,GIA,Round,10055.0
Ideal,J,VS2,1.0,GIA,Oval,4210.0
Very Good,E,VS2,0.41,GIA,Oval,1070.0
Very Good,F,SI1,0.43,GIA,Oval,780.0
Super Ideal,E,VVS2,1.7,GIA,Emerald,15240.0
Super Ideal,D,SI1,0.9,GIA,Oval,3620.0
Good,H,SI2,0.4,GIA,Round,777.5
Ideal,H,SI1,1.0,GIA,Round,5170.0
Ideal,D,VVS2,0.35,GIA,Emerald,850.0
Ideal,I,VS1,0.32,GIA,Oval,530.0
Ideal,H,SI1,0.3,GIA,Heart,590.0
Super Ideal,J,VS1,0.52,GIA,Round,1110.0
Super Ideal,H,VVS2,0.64,GIA,Round,2390.0
Very Good,G,VVS2,0.7,GIA,Cushion,2170.0
Ideal,G,VVS2,0.78,GIA,Pear,3320.0
Super Ideal,G,VVS1,0.7,GIA,Pear,2520.0
Ideal,D,SI1,1.0,GIA,Pear,4996.67
Very Good,J,IF,0.9,GIA,Pear,2670.0
Good,E,VS2,0.35,GIA,Princess,613.33
Super Ideal,D,VVS1,0.53,GIA,Princess,1750.0
Super Ideal,G,VVS1,0.82,GIA,Round,4658.57
Ideal,D,VVS1,0.31,GIA,Princess,710.0
Ideal,E,VS1,0.61,GIA,Pear,2010.0
Super Ideal,H,VS2,0.4,GIA,Round,1166.22
Super Ideal,H,VS2,0.3,GIA,Round,766.9
Super Ideal,F,SI1,0.7,GIA,Pear,2470.0
Very Good,G,VS1,0.8,GIA,Round,3567.78
Ideal,E,VS1,0.36,GIA,Emerald,733.33
Super Ideal,G,VS2,1.6,GIA,Round,13690.0
Ideal,F,VS1,0.8,GIA,Princess,3010.0
Super Ideal,E,SI2,0.5,GIA,Pear,1180.0
Ideal,F,VVS2,0.41,GIA,Round,1206.67
Super Ideal,D,VS1,0.51,GIA,Radiant,1710.0
Ideal,D,SI2,0.37,GIA,Round,780.0
Ideal,F,VVS1,0.34,GIA,Emerald,740.0
Super Ideal,G,SI2,0.82,GIA,Round,3040.0
Super Ideal,J,VVS1,0.55,GIA,Round,1342.5
Ideal,I,VVS2,0.45,GIA,Round,1080.0
Super Ideal,H,VVS2,0.63,GIA,Round,2427.5
Very Good,J,SI1,1.0,GIA,Princess,2690.0
Super Ideal,F,SI1,1.34,GIA,Round,7600.0
Good,J,SI1,0.51,GIA,Emerald,800.0
Super Ideal,J,VVS2,1.06,GIA,Round,4800.0
Super Ideal,J,VVS2,1.7,GIA,Round,10460.0
Ideal,I,VVS2,0.48,GIA,Princess,1060.0
Super Ideal,H,SI2,0.37,GIA,Round,655.0
Ideal,D,SI1,0.44,GIA,Round,1145.0
Ideal,I,VS1,0.5,GIA,Pear,1260.0
Super Ideal,J,SI2,1.6,GIA,Cushion,4750.0
Very Good,D,SI1,0.29,GIA,Round,690.0
Ideal,F,SI2,1.55,GIA,Pear,9210.0
Ideal,J,VVS1,1.01,GIA,Emerald,3870.0
Good,D,SI2,0.99,GIA,Princess,4800.0
Good,D,VVS1,0.4,GIA,Round,1210.0
Super Ideal,G,VS1,0.54,GIA,Round,2220.0
Ideal,F,VS2,0.31,GIA,Oval,706.0
Super Ideal,E,VS1,0.43,GIA,Oval,1225.0
Super Ideal,H,SI1,1.2,GIA,Oval,6680.0
Super Ideal,G,VS1,1.8,GIA,Emerald,14700.0
Ideal,E,SI2,0.74,GIA,Oval,2390.0
Super Ideal,E,VS2,0.8,GIA,Radiant,2680.0
Very Good,G,VS2,0.65,GIA,Round,2550.0
Super Ideal,G,IF,1.65,GIA,Round,16180.0
Super Ideal,H,IF,0.28,GIA,Round,660.0
Ideal,H,SI2,0.81,GIA,Marquise,2170.0
Very Good,D,SI2,0.8,GIA,Round,2742.22
Ideal,D,SI1,0.26,GIA,Round,515.0
Very Good,H,SI1,0.64,GIA,Round,1760.0
Super Ideal,I,VS2,1.01,GIA,Heart,3400.0
Ideal,F,SI1,0.31,GIA,Round,616.67
Very Good,D,SI1,0.33,GIA,Oval,660.0
Good,D,SI1,0.9,GIA,Cushion,2860.0
Ideal,F,SI1,0.37,GIA,Marquise,590.0
Super Ideal,J,VS1,1.4,GIA,Round,7260.0
Ideal,I,SI2,0.73,GIA,Cushion,1610.0
Super Ideal,E,IF,1.03,GIA,Round,11825.0
Super Ideal,G,VS1,0.72,GIA,Round,3328.75
Super Ideal,J,VVS1,0.87,GIA,Round,3630.0
Ideal,D,VS2,0.5,GIA,Cushion,1460.0
Ideal,D,SI1,0.59,GIA,Oval,1535.0
Very Good,F,VS2,1.0,GIA,Round,6310.77
Ideal,F,VVS2,0.82,GIA,Emerald,2880.0
Super Ideal,I,SI1,0.72,GIA,Round,2506.67
Very Good,E,VS1,2.0,GIA,Princess,18130.0
Good,I,SI2,0.43,GIA,Oval,720.0
Ideal,I,SI2,0.31,GIA,Princess,470.0
Very Good,H,VVS1,0.72,GIA,Pear,2665.0
Ideal,D,VS2,1.7,GIA,Heart,11940.0
Very Good,F,SI1,0.3,GIA,Princess,507.5
Good,F,VVS1,0.41,GIA,Princess,910.0
Super Ideal,D,VS2,0.5,GIA,Cushion,1265.0
Ideal,E,VS2,0.51,GIA,Pear,1355.0
Super Ideal,J,SI2,1.52,GIA,Round,8000.0
Very Good,E,VVS1,0.53,GIA,Asscher,1880.0
Very Good,I,IF,0.4,GIA,Round,950.0
Ideal,J,SI2,1.6,GIA,Oval,7550.0
Very Good,G,VS1,0.37,GIA,Round,910.0
Super Ideal,F,IF,0.71,GIA,Emerald,2630.0
Good,E,SI1,1.0,IGI,Round,3870.0
Very Good,F,VS1,0.46,GIA,Pear,1360.0
Good,D,VS2,0.52,GIA,Pear,1590.0
Very Good,H,VS1,2.0,GIA,Round,17900.0
Super Ideal,J,VVS2,1.05,GIA,Round,4908.0
Super Ideal,J,SI2,1.2,GIA,Round,5112.86
Very Good,D,VS2,0.53,GIA,Oval,1680.0
Good,E,VVS2,0.44,GIA,Princess,970.0
Ideal,G,VVS2,0.75,GIA,Emerald,2725.0
Ideal,I,VVS1,1.93,GIA,Asscher,13010.0
Ideal,F,SI2,1.0,IGI,Pear,2966.0
Super Ideal,D,VVS2,1.0,GIA,Round,10723.08
Super Ideal,G,IF,0.76,GIA,Round,4110.0
Ideal,J,SI1,0.8,GIA,Princess,2190.0
Super Ideal,F,VVS1,0.82,GIA,Round,5703.33
Very Good,D,VVS1,1.01,GIA,Emerald,5940.0
Super Ideal,E,SI2,0.5,GIA,Round,1474.2
Super Ideal,F,VVS2,1.03,GIA,Oval,6900.0
Ideal,F,VS1,0.25,GIA,Round,576.0
Ideal,G,VS2,1.0,GIA,Heart,4230.0
Ideal,J,SI1,1.2,GIA,Pear,4700.0
Ideal,I,VS1,2.01,GIA,Asscher,12420.0
Ideal,F,VS2,0.25,GIA,Round,530.0
Super Ideal,G,VVS2,0.76,GIA,Emerald,2760.0
Ideal,E,VVS2,0.8,GIA,Round,4397.5
Ideal,D,SI2,1.0,GIA,Heart,4150.0
Ideal,G,VVS2,1.3,GIA,Asscher,6570.0
Super Ideal,H,VS2,0.5,GIA,Emerald,1310.0
Super Ideal,I,VVS1,0.91,GIA,Princess,3730.0
Super Ideal,J,SI1,0.35,GIA,Round,615.0
Ideal,D,VS1,0.46,GIA,Emerald,1170.0
Ideal,H,SI1,2.51,GIA,Princess,17010.0
Ideal,H,VVS2,0.7,GIA,Pear,2400.0
Super Ideal,J,SI2,2.21,GIA,Round,13590.0
Ideal,I,VS1,1.9,GIA,Pear,11960.0
Ideal,F,VS1,0.5,GIA,Princess,1258.33
Ideal,H,VS1,0.46,GIA,Pear,1015.0
Super Ideal,F,SI1,0.93,GIA,Cushion,3510.0
Ideal,G,VS1,1.26,GIA,Pear,7250.0
Very Good,F,SI2,0.93,GIA,Oval,3890.0
Good,H,SI2,0.46,GIA,Round,880.0
Super Ideal,H,IF,0.62,GIA,Round,2416.0
Ideal,G,VS1,0.32,GIA,Pear,605.0
Very Good,H,SI2,2.5,GIA,Emerald,12930.0
Very Good,G,VVS1,1.3,GIA,Asscher,7590.0
Ideal,D,IF,0.7,GIA,Marquise,3180.0
Very Good,H,SI1,0.7,GIA,Princess,1780.0
Super Ideal,D,SI1,1.7,GIA,Cushion,10990.0
Super Ideal,F,VS2,1.71,GIA,Pear,13950.0
Ideal,H,SI1,1.71,GIA,Emerald,10800.0
Super Ideal,J,VVS2,1.3,GIA,Round,6123.33
Ideal,D,VVS1,0.51,GIA,Cushion,1400.0
Ideal,F,SI1,0.9,GIA,Pear,4150.0
Super Ideal,E,VVS2,0.5,GIA,Emerald,1460.0
Ideal,E,VS1,0.8,GIA,Emerald,3330.0
Super Ideal,G,VS2,1.51,GIA,Oval,12066.67
Super Ideal,J,VVS1,0.5,GIA,Round,1305.0
Good,H,SI2,0.7,GIA,Round,1836.0
Super Ideal,G,VS2,0.63,GIA,Round,2554.0
Very Good,D,VVS1,0.37,GIA,Oval,1050.0
Ideal,D,SI2,0.72,GIA,Oval,1990.0
Ideal,E,VVS2,0.36,GIA,Emerald,820.0
Super Ideal,J,VS2,0.71,GIA,Round,2000.0
Super Ideal,G,SI1,1.21,GIA,Princess,5380.0
Ideal,I,SI1,0.59,GIA,Princess,1110.0
Super Ideal,H,VS2,2.0,GIA,Round,17450.0
Super Ideal,H,SI1,0.3,GIA,Emerald,480.0
Ideal,F,IF,0.41,GIA,Marquise,1135.0
Ideal,H,VS1,1.0,GIA,Emerald,4540.0
Ideal,E,SI2,1.7,IGI,Pear,7005.0
Super Ideal,I,VVS2,1.0,GIA,Cushion,3250.0
Super Ideal,G,VS2,0.36,GIA,Round,925.71
Very Good,E,VS1,0.7,GIA,Oval,2690.0
Very Good,E,VVS1,0.31,GIA,Round,900.0
Very Good,F,SI1,1.5,GIA,Pear,9830.0
Ideal,F,SI1,0.36,GIA,Round,740.0
Super Ideal,H,VS2,0.44,GIA,Round,1245.0
Super Ideal,H,SI2,1.09,GIA,Round,4620.0
Very Good,F,VVS2,0.25,GIA,Round,580.0
Ideal,E,VS1,0.81,GIA,Oval,3930.0
Ideal,D,VS2,0.31,GIA,Pear,664.55
Good,J,VS2,0.7,GIA,Heart,1350.0
Super Ideal,E,SI2,0.7,GIA,Oval,2305.0
Super Ideal,D,IF,0.45,GIA,Round,2126.67
Ideal,J,VS1,1.65,GIA,Pear,6850.0
Super Ideal,D,VVS1,0.5,GIA,Oval,1560.0
Super Ideal,D,VS2,0.31,GIA,Pear,710.0
Ideal,D,SI2,0.59,GIA,Emerald,960.0
Very Good,H,SI2,0.37,GIA,Round,613.33
Very Good,H,SI1,1.2,GIA,Cushion,4585.0
Super Ideal,E,VS1,0.7,GIA,Princess,2460.0
Super Ideal,H,VS2,1.02,GIA,Round,6820.71
Ideal,G,SI1,0.32,GIA,Heart,585.0
Very Good,G,SI2,0.5,GIA,Marquise,1080.0
Ideal,E,VVS1,0.35,GIA,Heart,960.0
Super Ideal,E,VVS1,0.58,GIA,Round,3077.27
Ideal,E,VS2,1.0,GIA,Oval,6568.0
Super Ideal,H,VVS1,1.9,GIA,Round,19360.0
Ideal,E,IF,0.7,GIA,Princess,2600.0
Ideal,G,VS1,0.5,GIA,Round,1976.15
Good,E,SI1,0.37,GIA,Pear,680.0
Super Ideal,I,VS2,1.29,GIA,Round,7000.0
Super Ideal,G,SI1,1.02,GIA,Oval,5930.0
Ideal,G,VVS2,0.35,GIA,Emerald,610.0
Super Ideal,I,VS1,0.7,GIA,Pear,1870.0
Super Ideal,E,SI1,0.3,GIA,Oval,670.0
Super Ideal,F,VVS1,0.76,GIA,Round,4690.0
Ideal,E,SI1,0.42,GIA,Emerald,870.0
Ideal,I,IF,0.34,GIA,Pear,600.0
Ideal,G,VS1,0.91,GIA,Radiant,2930.0
Very Good,D,VVS2,0.8,GIA,Oval,3835.0
Ideal,H,VS1,1.95,GIA,Emerald,15320.0
Very Good,I,VS1,0.51,GIA,Pear,880.0
Very Good,G,SI2,2.0,IGI,Cushion,9580.0
Ideal,E,SI1,0.3,GIA,Marquise,556.92
Very Good,J,VVS1,1.03,GIA,Cushion,2920.0
Ideal,H,SI2,0.5,GIA,Pear,1020.0
Very Good,I,SI1,0.71,GIA,Cushion,1740.0
Ideal,D,VS2,0.51,GIA,Pear,1327.5
Super Ideal,G,SI1,0.63,GIA,Round,2070.0
Ideal,D,VS1,0.91,GIA,Emerald,3905.0
Ideal,H,SI1,0.91,GIA,Cushion,3160.0
Super Ideal,D,FL,0.56,GIA,Round,4770.0
Ideal,J,VVS2,0.52,GIA,Emerald,1090.0
Ideal,G,VS1,1.2,GIA,Pear,6950.0
Ideal,G,SI2,1.6,GIA,Oval,9790.0
Ideal,F,VVS2,0.4,GIA,Emerald,925.0
Super Ideal,G,VS1,0.32,GIA,Round,799.55
Very Good,F,VVS2,0.45,GIA,Round,1410.91
Super Ideal,F,VS1,0.84,GIA,Round,4670.0
Very Good,D,VS2,0.34,GIA,Pear,760.0
Very Good,F,VS1,0.33,GIA,Marquise,785.0
Ideal,G,VS2,1.5,GIA,Oval,12180.0
Ideal,F,SI2,0.71,GIA,Marquise,2390.0
Ideal,H,SI2,0.9,GIA,Oval,3267.5
Super Ideal,I,VVS2,0.62,GIA,Round,1740.0
Super Ideal,J,IF,1.5,GIA,Round,10170.0
Super Ideal,E,VVS2,0.3,GIA,Oval,750.0
Super Ideal,E,VS2,0.3,GIA,Round,855.31
Ideal,E,SI2,1.5,GIA,Round,8530.0
Super Ideal,G,VS1,0.36,GIA,Heart,970.0
Good,I,SI1,1.0,GIA,Radiant,2700.0
Ideal,H,SI2,0.8,GIA,Round,2500.0
Very Good,H,SI2,0.46,GIA,Pear,780.0
Super Ideal,I,VS1,1.21,GIA,Round,6185.0
Ideal,G,SI2,1.36,IGI,Round,6390.0
Very Good,J,SI2,0.31,GIA,Round,450.0
Ideal,I,SI2,0.92,GIA,Heart,2500.0
Super Ideal,H,VVS2,1.23,GIA,Round,7110.0
Super Ideal,F,SI2,0.38,GIA,Round,740.0
Super Ideal,F,SI2,1.01,GIA,Princess,3455.0
Very Good,G,VS2,0.8,GIA,Round,3401.67
Ideal,D,SI2,1.3,GIA,Cushion,4700.0
Ideal,F,IF,0.28,GIA,Round,790.0
Ideal,I,VS1,0.61,GIA,Pear,1490.0
Super Ideal,H,SI2,1.51,GIA,Pear,8250.0
Very Good,H,VS1,2.0,GIA,Radiant,16600.0
Very Good,E,VVS2,0.58,GIA,Pear,1880.0
Super Ideal,E,SI2,1.03,GIA,Round,5200.0
Super Ideal,F,VS1,1.7,GIA,Radiant,15090.0
Super Ideal,F,SI2,2.0,IGI,Pear,11320.0
Super Ideal,J,VVS1,0.3,GIA,Princess,580.0
Ideal,H,VVS1,0.8,GIA,Marquise,2850.0
Very Good,E,SI1,0.6,GIA,Round,1864.0
Ideal,E,VVS1,0.41,GIA,Pear,1100.0
Very Good,E,SI1,0.6,GIA,Pear,1310.0
Ideal,G,SI2,1.5,GIA,Princess,6500.0
Super Ideal,G,SI1,1.53,GIA,Round,10770.0
Very Good,J,VS1,0.45,GIA,Round,947.5
Ideal,G,VVS2,0.7,GIA,Princess,2160.0
Ideal,G,SI2,0.7,GIA,Round,1997.78
Ideal,E,SI1,0.61,GIA,Emerald,1560.0
Very Good,D,SI2,1.01,GIA,Pear,4370.0
Good,I,VS2,0.81,GIA,Radiant,2030.0
Ideal,I,SI1,0.31,GIA,Round,560.0
Super Ideal,E,VS1,0.31,GIA,Emerald,686.67
Ideal,D,VVS1,1.0,GIA,Oval,6620.0
Ideal,J,SI1,1.9,GIA,Oval,10850.0
Very Good,F,VVS1,0.61,GIA,Pear,2120.0
Super Ideal,J,SI1,0.93,GIA,Round,3490.0
Super Ideal,H,VVS1,0.3,GIA,Emerald,600.0
Super Ideal,F,VS1,0.28,GIA,Round,660.0
Super Ideal,D,SI2,0.79,GIA,Round,3080.0
Good,D,VS2,0.6,GIA,Pear,1930.0
Very Good,E,VS1,0.29,GIA,Pear,660.0
Ideal,D,SI1,0.7,GIA,Cushion,1850.0
Very Good,D,VS1,0.31,GIA,Oval,740.0
Super Ideal,E,SI1,1.07,GIA,Round,6960.0
Super Ideal,H,SI2,1.21,GIA,Oval,5620.0
Good,J,VS1,1.7,GIA,Oval,9040.0
Super Ideal,I,VS1,1.62,GIA,Round,10460.0
Super Ideal,E,SI2,0.52,GIA,Oval,1210.0
Ideal,E,SI2,1.2,GIA,Pear,5225.0
Ideal,D,VVS1,0.38,GIA,Oval,1040.0
Ideal,H,VS2,1.52,GIA,Cushion,8390.0
Ideal,H,SI2,1.2,IGI,Oval,4537.5
Ideal,G,SI1,0.91,GIA,Oval,4160.0
Ideal,D,SI2,0.52,GIA,Emerald,980.0
Super Ideal,F,VS1,0.3,GIA,Round,845.66
Very Good,J,SI2,0.58,GIA,Round,1260.0
Very Good,J,SI1,1.2,GIA,Cushion,3320.0
Super Ideal,G,SI2,0.81,GIA,Round,2880.0
Ideal,I,SI2,0.35,GIA,Round,550.0
Good,F,VS1,1.5,GIA,Heart,10820.0
Ideal,J,VS1,0.31,GIA,Round,740.0
Ideal,H,VS2,0.35,GIA,Pear,520.0
Good,E,VS1,0.52,GIA,Emerald,1360.0
Ideal,F,VS2,0.51,GIA,Pear,1080.0
Ideal,E,SI1,1.2,GIA,Round,6973.33
Ideal,G,SI1,1.5,GIA,Round,9570.0
Super Ideal,D,VS1,0.5,GIA,Pear,1450.0
Ideal,J,VVS2,0.53,GIA,Princess,1180.0
Super Ideal,J,VVS2,1.52,GIA,Cushion,6860.0
Super Ideal,I,VS1,1.8,GIA,Oval,12420.0
Super Ideal,G,VVS2,1.21,GIA,Round,9220.0
Ideal,I,VS2,1.07,GIA,Princess,3640.0
Ideal,I,VVS1,0.48,GIA,Emerald,810.0
Super Ideal,E,SI2,1.11,GIA,Oval,5010.0
Ideal,G,SI1,0.35,GIA,Round,830.0
Good,G,SI1,0.4,GIA,Round,843.33
Ideal,H,SI2,0.51,GIA,Heart,1020.0
Good,H,VVS1,0.7,GIA,Round,2593.33
Very Good,E,SI2,1.2,GIA,Cushion,4183.33
Ideal,J,VVS2,0.5,GIA,Pear,1220.0
Super Ideal,F,SI2,1.09,GIA,Round,5406.67
Super Ideal,I,SI2,2.0,GIA,Oval,14540.0
Ideal,F,VVS2,0.56,GIA,Pear,1720.0
Very Good,J,VVS2,0.5,GIA,Cushion,1010.0
Very Good,I,VVS2,0.59,GIA,Round,1380.0
