cut,color,clarity,carat,report,shape,price
Very Good,G,SI2,0.37,GIA,Oval,650.0
Very Good,H,IF,0.7,GIA,Round,2900.0
Ideal,E,SI2,0.48,GIA,Emerald,840.0
Super Ideal,F,SI1,0.49,GIA,Round,1420.0
Very Good,G,VVS2,0.3,GIA,Emerald,620.0
Ideal,H,SI1,0.42,GIA,Pear,750.0
Very Good,E,VS1,0.7,GIA,Emerald,2385.0
Ideal,E,VVS1,1.01,GIA,Emerald,5917.5
Super Ideal,G,VS2,0.34,GIA,Princess,640.0
Ideal,D,VS2,0.8,GIA,Emerald,2700.0
Ideal,H,SI2,2.01,IGI,Oval,9800.0
Very Good,F,VS2,0.72,IGI,Cushion,2980.0
Very Good,H,VS2,0.5,GIA,Princess,1080.0
Good,D,SI1,0.75,GIA,Pear,2450.0
Super Ideal,E,SI2,0.59,GIA,Princess,1020.0
Super Ideal,I,VS2,0.37,GIA,Round,742.5
Good,H,SI1,0.3,GIA,Pear,470.0
Very Good,I,VVS1,0.41,GIA,Round,835.0
Ideal,G,VVS1,0.93,GIA,Princess,3820.0
Very Good,E,VS1,0.6,GIA,Emerald,1690.0
Ideal,J,SI2,1.29,GIA,Oval,4506.67
Very Good,J,VS2,0.71,GIA,Round,1780.0
Super Ideal,I,VS1,0.6,GIA,Round,1761.11
Very Good,F,VS2,0.29,GIA,Princess,530.0
Ideal,F,VS2,1.0,GIA,Pear,5666.67
Super Ideal,I,VVS1,0.7,GIA,Oval,2315.0
Ideal,F,SI2,1.01,GIA,Cushion,3173.33
Very Good,D,VS1,1.0,GIA,Oval,6113.33
Very Good,D,VVS2,0.7,GIA,Round,3254.29
Good,F,VS1,0.7,GIA,Round,2734.0
Very Good,I,VVS2,0.58,GIA,Oval,1530.0
Ideal,E,VS2,0.37,GIA,Pear,675.0
Super Ideal,D,IF,0.35,GIA,Round,1542.31
Very Good,D,SI1,0.81,GIA,Oval,3080.0
Super Ideal,E,VS2,1.81,GIA,Round,18030.0
Good,J,VVS1,0.4,GIA,Round,870.0
Ideal,F,VS2,0.4,GIA,Emerald,870.0
Ideal,J,VS1,0.63,GIA,Princess,1500.0
Super Ideal,D,IF,0.25,GIA,Round,1020.0
Ideal,J,SI2,0.42,GIA,Marquise,750.0
Super Ideal,H,VVS2,0.55,GIA,Round,2055.0
Ideal,I,SI2,1.2,IGI,Princess,3310.0
Very Good,E,VVS2,0.37,GIA,Princess,820.0
Ideal,E,VVS2,0.38,GIA,Round,1135.0
Super Ideal,F,VS1,1.65,GIA,Asscher,10600.0
Super Ideal,E,VS1,1.15,GIA,Round,11270.0
Ideal,G,VVS2,0.8,GIA,Round,4100.0
Good,D,SI1,1.0,GIA,Round,5030.0
Super Ideal,D,SI2,1.51,GIA,Pear,7740.0
Super Ideal,H,SI2,1.8,IGI,Oval,7640.0
Super Ideal,E,VS1,0.63,GIA,Round,2918.67
Ideal,F,SI1,1.01,GIA,Heart,3670.0
Ideal,H,SI1,1.11,GIA,Pear,4030.0
Ideal,H,SI2,1.0,IGI,Round,3604.44
Good,G,SI2,1.2,IGI,Oval,3960.0
Ideal,G,SI1,0.3,GIA,Princess,500.83
Very Good,H,SI2,0.31,GIA,Round,530.0
Ideal,D,VS1,1.0,GIA,Emerald,5790.0
Ideal,E,SI1,0.59,GIA,Emerald,1420.0
Super Ideal,G,VVS2,1.0,GIA,Cushion,4960.0
Good,G,SI2,0.71,GIA,Princess,1930.0
Very Good,D,SI2,2.0,GIA,Oval,16560.0
Super Ideal,D,SI1,1.64,GIA,Round,13490.0
Very Good,F,VS2,0.3,GIA,Emerald,595.0
Good,E,VVS2,0.47,GIA,Emerald,700.0
Super Ideal,G,VVS2,0.86,GIA,Round,4680.0
Ideal,H,VS1,1.54,GIA,Cushion,8290.0
Ideal,F,VVS2,1.01,GIA,Radiant,5250.0
Very Good,E,SI2,0.8,GIA,Round,2526.67
Very Good,F,VS2,0.6,GIA,Round,2070.0
Very Good,F,VVS1,0.71,GIA,Pear,2796.67
Ideal,I,VS2,1.03,GIA,Cushion,4065.0
Ideal,E,SI1,0.35,GIA,Oval,743.33
Ideal,E,VS2,0.75,GIA,Emerald,2500.0
Very Good,I,VVS2,1.51,GIA,Round,9330.0
Ideal,D,VVS1,0.6,GIA,Round,2760.0
Ideal,I,VS1,1.51,GIA,Pear,9000.0
Good,E,VVS2,0.32,GIA,Marquise,860.0
Good,E,SI2,0.71,GIA,Princess,1690.0
Good,H,VVS1,0.3,GIA,Round,706.67
Very Good,I,SI1,0.65,GIA,Pear,1450.0
Ideal,I,SI2,0.59,GIA,Oval,1060.0
Ideal,H,SI2,1.51,IGI,Cushion,4850.0
Very Good,H,VS2,0.41,GIA,Pear,940.0
Super Ideal,G,SI2,0.44,GIA,Round,885.0
Ideal,F,SI2,1.51,GIA,Oval,9104.0
Super Ideal,E,VVS2,0.38,GIA,Emerald,900.0
Ideal,F,VS2,0.31,GIA,Pear,600.0
Super Ideal,D,SI2,1.01,GIA,Oval,4922.5
Super Ideal,H,SI2,1.5,GIA,Round,8642.22
Super Ideal,F,VS2,0.72,GIA,Round,3520.0
Very Good,D,SI1,0.62,GIA,Emerald,1195.0
Super Ideal,E,VVS1,1.45,GIA,Round,18470.0
Super Ideal,E,VVS2,0.33,GIA,Emerald,720.0
Super Ideal,F,SI2,0.97,GIA,Round,3780.0
Super Ideal,J,SI2,0.41,GIA,Round,750.0
Very Good,E,SI1,0.45,GIA,Round,1063.33
Super Ideal,F,SI1,1.01,GIA,Emerald,4120.0
Super Ideal,D,VVS2,0.27,GIA,Round,751.9
Super Ideal,I,VVS2,0.37,GIA,Round,860.0
Ideal,H,VS2,0.3,GIA,Oval,580.0
Very Good,H,SI2,0.5,GIA,Heart,1080.0
Ideal,I,SI2,1.8,GIA,Oval,11470.0
Super Ideal,E,SI2,0.56,GIA,Round,1633.33
Very Good,E,SI2,2.0,GIA,Oval,14095.0
Good,G,SI1,0.5,GIA,Oval,1210.0
Ideal,J,SI1,0.5,GIA,Oval,955.0
Very Good,G,SI1,0.91,GIA,Round,3500.0
Ideal,D,SI2,0.8,GIA,Oval,2580.0
Super Ideal,I,VS2,1.74,GIA,Round,11240.0
Ideal,F,VVS2,1.51,GIA,Emerald,10865.0
Ideal,F,VS1,1.0,GIA,Heart,5770.0
Very Good,G,SI1,2.01,GIA,Radiant,15570.0
Good,E,SI1,0.39,GIA,Oval,810.0
Very Good,G,VS1,1.01,GIA,Cushion,4430.0
Very Good,I,SI1,1.21,GIA,Cushion,3200.0
Ideal,F,VS1,0.45,GIA,Pear,1040.0
Very Good,F,SI1,1.02,GIA,Round,5655.0
Super Ideal,D,SI2,0.51,GIA,Round,1522.0
Ideal,E,SI2,1.29,GIA,Pear,5110.0
Very Good,F,SI2,0.4,GIA,Round,792.0
Very Good,H,VS1,1.0,GIA,Round,5846.67
Super Ideal,J,SI1,0.82,GIA,Emerald,1640.0
Good,G,VS2,1.0,GIA,Oval,5190.0
Very Good,G,VS1,0.46,GIA,Round,1337.14
Ideal,F,VVS2,1.5,GIA,Oval,14670.0
Super Ideal,F,SI1,1.71,GIA,Radiant,12950.0
Very Good,D,VVS1,1.14,GIA,Cushion,6250.0
Very Good,G,VVS1,0.45,GIA,Round,1362.5
Ideal,D,SI1,1.2,GIA,Oval,7796.67
Ideal,F,SI2,0.33,GIA,Heart,630.0
Super Ideal,J,SI1,2.2,GIA,Round,14690.0
Very Good,I,SI1,0.37,GIA,Round,720.0
Good,J,VS1,1.2,GIA,Oval,5430.0
Ideal,F,SI2,0.31,GIA,Pear,510.0
Ideal,F,VVS2,1.01,GIA,Emerald,5610.0
Ideal,G,VS2,1.51,GIA,Oval,10660.0
Very Good,D,SI1,0.71,GIA,Oval,2320.0
Ideal,J,SI2,1.0,GIA,Pear,2775.0
Ideal,G,SI2,1.01,IGI,Pear,2655.0
Good,H,VS2,0.7,GIA,Round,2405.0
Ideal,H,VVS1,0.6,GIA,Round,2097.5
Super Ideal,F,SI2,0.46,GIA,Pear,730.0
Very Good,I,VVS2,0.42,GIA,Pear,710.0
Ideal,E,VVS2,0.41,GIA,Oval,1225.0
Ideal,H,VVS1,1.3,IGI,Round,7430.0
Very Good,H,VS1,0.3,GIA,Emerald,660.0
Very Good,F,VVS1,0.52,GIA,Heart,1600.0
Ideal,H,VVS2,1.53,GIA,Cushion,8740.0
Ideal,I,SI2,3.0,IGI,Round,19880.0
Ideal,G,SI1,1.35,GIA,Cushion,5850.0
Super Ideal,D,VS1,0.35,GIA,Emerald,780.0
Ideal,I,SI2,1.8,IGI,Round,8260.0
Very Good,J,VS2,0.8,GIA,Oval,2260.0
Super Ideal,H,VVS2,1.55,GIA,Round,13130.0
Super Ideal,H,IF,0.72,GIA,Round,3275.0
Super Ideal,D,SI1,2.2,GIA,Round,19100.0
Super Ideal,F,VS2,0.9,GIA,Pear,3980.0
Ideal,E,VVS2,1.2,GIA,Pear,8600.0
Good,G,VVS2,0.6,GIA,Pear,1890.0
Very Good,E,SI2,0.8,GIA,Pear,1960.0
Ideal,E,IF,0.42,GIA,Princess,1270.0
Ideal,I,VVS1,0.4,GIA,Round,886.67
Very Good,E,SI1,0.6,GIA,Marquise,1420.0
Very Good,E,IF,0.31,GIA,Round,960.0
Super Ideal,D,VVS1,0.67,GIA,Round,4163.33
Very Good,F,IF,1.11,GIA,Round,10620.0
Super Ideal,G,IF,0.29,GIA,Round,660.0
Ideal,G,VS2,0.4,GIA,Oval,1060.0
Ideal,D,SI1,1.02,GIA,Round,5840.0
Super Ideal,D,SI2,1.2,IGI,Oval,4050.0
Very Good,E,SI1,1.0,GIA,Round,5108.46
Super Ideal,H,VS1,0.72,GIA,Round,3420.0
Ideal,G,VVS2,0.41,GIA,Pear,1060.0
Ideal,F,VS1,0.38,GIA,Pear,750.0
Ideal,I,SI1,0.75,IGI,Round,2560.0
Good,F,IF,1.01,GIA,Pear,5130.0
Super Ideal,I,VS2,0.36,GIA,Round,662.5
Ideal,F,VS2,0.34,GIA,Emerald,790.0
Very Good,H,VVS2,0.97,GIA,Pear,4260.0
Ideal,H,SI1,0.8,GIA,Princess,1890.0
Ideal,I,VS1,0.3,GIA,Emerald,500.0
Very Good,D,VS1,0.39,GIA,Princess,730.0
Ideal,H,VVS1,0.5,GIA,Emerald,1215.0
Super Ideal,G,VVS1,1.0,GIA,Round,8152.86
Very Good,H,VVS2,1.2,GIA,Asscher,4830.0
Ideal,F,SI1,1.51,GIA,Pear,10375.0
Very Good,D,VS2,0.57,GIA,Pear,1330.0
Ideal,D,VS1,0.58,GIA,Pear,1580.0
Super Ideal,F,VVS2,0.5,GIA,Marquise,1790.0
Super Ideal,E,SI2,0.71,GIA,Oval,1950.0
Very Good,G,SI2,2.0,IGI,Oval,10880.0
Super Ideal,I,SI2,2.39,GIA,Round,18150.0
Super Ideal,E,IF,0.57,GIA,Round,3258.33
Ideal,D,IF,0.36,GIA,Pear,1030.0
