cut,color,clarity,carat,report,shape,price
Very Good,F,VS1,1.97,IGI,Oval,6500.0
Ideal,F,VVS2,1.1,IGI,Pear,2560.0
Ideal,F,VS2,1.71,IGI,Oval,4990.0
Ideal,E,SI1,0.41,IGI,Round,458.0
Ideal,G,VVS2,0.57,IGI,Round,860.0
Ideal,E,VS1,0.82,IGI,Radiant,1380.0
Very Good,E,VS1,2.27,GCAL,Emerald,8900.0
Ideal,E,SI2,0.9,IGI,Emerald,1215.0
Good,I,VS1,1.0,GCAL,Round,1560.0
Ideal,H,VS2,1.21,GCAL,Princess,1970.0
Super Ideal,G,VVS2,0.54,IGI,Pear,630.0
Ideal,H,SI1,0.64,IGI,Pear,630.0
Ideal,I,VS2,0.51,IGI,Pear,498.75
Ideal,E,VS2,0.7,IGI,Cushion,1095.0
Good,D,VS1,0.53,IGI,Marquise,790.0
Very Good,E,VS2,2.06,GCAL,Oval,7470.0
Very Good,F,VS2,2.71,GCAL,Asscher,10990.0
Very Good,G,VS2,2.01,IGI,Round,7240.0
Super Ideal,I,VS1,1.57,IGI,Round,3290.0
Ideal,I,VVS2,0.89,IGI,Round,1200.0
Ideal,H,VS2,1.01,IGI,Marquise,1600.0
Ideal,J,VS2,2.15,IGI,Oval,4330.0
Very Good,F,VS1,0.64,IGI,Asscher,770.0
Ideal,E,SI1,0.52,GCAL,Oval,570.0
Super Ideal,F,VVS1,1.66,IGI,Princess,5610.0
Ideal,G,VS2,2.0,IGI,Emerald,6010.0
Ideal,I,VS1,0.5,IGI,Round,540.0
Very Good,F,VVS2,0.42,IGI,Round,520.0
Ideal,H,SI2,1.7,IGI,Oval,3150.0
Super Ideal,I,VS1,1.55,IGI,Round,3120.0
Super Ideal,F,VVS2,0.78,IGI,Round,1350.0
Ideal,E,VS2,2.04,GCAL,Emerald,7980.0
Ideal,D,VVS2,0.35,GCAL,Marquise,540.0
Ideal,D,VVS1,2.04,GCAL,Cushion,12060.0
Good,E,VS2,0.66,IGI,Marquise,790.0
Good,G,VS2,0.57,IGI,Oval,610.0
Good,E,VS1,0.63,IGI,Cushion,810.0
Super Ideal,G,VS1,0.65,IGI,Princess,740.0
Super Ideal,G,VVS2,1.55,IGI,Round,4490.0
Ideal,I,VVS1,1.15,IGI,Oval,1920.0
Super Ideal,J,SI1,2.08,IGI,Round,4400.0
Ideal,G,VS1,0.73,IGI,Radiant,1100.0
Super Ideal,H,VVS2,0.83,IGI,Round,1800.0
Super Ideal,D,VVS2,1.24,IGI,Round,3690.0
Ideal,E,VS2,0.3,IGI,Pear,310.0
Ideal,I,VS2,2.01,IGI,Heart,4270.0
Ideal,G,VS1,2.06,IGI,Princess,6440.0
Super Ideal,J,VVS2,2.18,IGI,Round,4560.0
Super Ideal,E,VS1,0.42,IGI,Oval,440.0
Ideal,F,VS1,1.62,IGI,Cushion,4680.0
Super Ideal,H,VS2,1.02,IGI,Round,1920.0
Super Ideal,I,SI1,1.53,IGI,Pear,2740.0
Very Good,F,VS1,1.72,IGI,Oval,5410.0
Ideal,G,VS2,2.04,IGI,Princess,6150.0
Super Ideal,F,SI1,1.66,IGI,Round,3615.0
Super Ideal,E,VS2,1.1,IGI,Oval,2350.0
Very Good,G,VVS1,2.0,IGI,Round,8800.0
Very Good,F,VS1,0.42,IGI,Oval,430.0
Ideal,H,VVS2,1.69,IGI,Oval,5360.0
Ideal,J,VS1,1.81,IGI,Oval,3170.0
Ideal,D,VS1,0.65,GCAL,Pear,1000.0
Ideal,G,VS2,2.35,IGI,Round,7900.0
Ideal,H,VS1,3.06,IGI,Princess,13390.0
Ideal,G,VS2,2.21,IGI,Princess,7140.0
Good,E,VS2,0.4,IGI,Marquise,430.0
Super Ideal,J,VS2,1.02,IGI,Emerald,1160.0
Ideal,G,VS2,0.58,GCAL,Round,670.0
Ideal,G,SI1,0.51,IGI,Round,550.0
Ideal,I,SI2,2.09,IGI,Oval,3950.0
Super Ideal,F,VS2,1.1,IGI,Round,2250.0
Super Ideal,J,SI1,2.02,IGI,Oval,3970.0
Super Ideal,D,VVS2,2.25,IGI,Round,13010.0
Very Good,E,SI1,0.46,IGI,Oval,470.0
Ideal,E,VS1,2.3,GCAL,Emerald,9530.0
Ideal,F,VS1,3.01,IGI,Round,18890.0
Ideal,H,VS1,0.59,IGI,Princess,620.0
Ideal,E,VS1,0.61,GCAL,Round,800.0
Ideal,D,SI2,0.73,IGI,Round,960.0
Ideal,F,VS1,2.63,GCAL,Asscher,10420.0
Ideal,I,VVS2,1.4,IGI,Round,2580.0
Ideal,I,VS1,1.61,IGI,Pear,3030.0
Ideal,H,VS1,1.51,IGI,Emerald,4100.0
Super Ideal,J,VS2,1.92,GCAL,Round,3250.0
Super Ideal,G,VS1,1.19,IGI,Round,2676.67
Ideal,G,VS1,0.57,IGI,Round,733.33
Ideal,F,VVS2,1.23,IGI,Round,3230.0
Ideal,I,VS2,1.4,IGI,Round,2363.33
Ideal,I,SI1,2.08,IGI,Oval,4575.0
Ideal,I,VS1,2.03,IGI,Emerald,5250.0
Super Ideal,E,SI2,1.5,IGI,Round,3230.0
Ideal,F,VS2,2.08,GCAL,Cushion,6590.0
Very Good,G,VS1,1.5,GCAL,Heart,3970.0
Ideal,J,VS2,2.28,IGI,Oval,4590.0
Super Ideal,H,VS1,2.13,IGI,Pear,5750.0
Super Ideal,F,VVS2,1.69,IGI,Round,5850.0
Very Good,D,VS2,0.51,IGI,Cushion,710.0
Super Ideal,I,VS2,1.07,IGI,Emerald,1490.0
Ideal,G,SI1,2.25,IGI,Cushion,6800.0
Ideal,G,VVS2,1.39,IGI,Round,3450.0
Super Ideal,H,VVS2,1.31,IGI,Round,2815.0
Very Good,J,VS2,1.89,IGI,Oval,3180.0
Ideal,H,SI1,1.51,GCAL,Princess,2860.0
Very Good,I,VS2,0.7,IGI,Pear,710.0
Very Good,E,VVS2,0.63,IGI,Oval,840.0
Ideal,H,SI1,2.14,IGI,Oval,5020.0
Very Good,F,VS1,0.37,IGI,Oval,380.0
Ideal,H,SI1,0.76,IGI,Pear,943.33
Super Ideal,I,SI2,2.2,IGI,Oval,5000.0
Ideal,J,VS1,4.01,IGI,Princess,19480.0
Good,D,VS1,0.35,IGI,Pear,370.0
Super Ideal,G,VS1,1.54,IGI,Round,3997.14
Ideal,I,VS2,1.69,IGI,Round,3030.0
Very Good,E,VS2,2.78,GCAL,Emerald,12080.0
Good,E,VVS2,1.7,IGI,Oval,6410.0
Very Good,F,VVS2,1.61,IGI,Cushion,5010.0
Ideal,H,VS2,0.58,IGI,Marquise,580.0
