index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
3,Albert's Creations,2,Cushion,1,1,0,18.23,1337.28,874.04,1317.0,-63.0,2274.0161,15.0,15.0,Super Ideal,E,SI1,1.53,IGI,3510.0
3,Michelle Kennedy,2,Cushion,1,1,0,16.47,1348.22,881.19,1328.0,-59.0,2054.322,15.0,15.0,Super Ideal,E,SI1,1.53,IGI,3510.0
3,White Lily,2,Cushion,1,1,0,21.83,1321.0,863.4,1301.0,-64.0,2322.6067,15.0,15.0,Super Ideal,E,SI1,1.53,IGI,3510.0
8,Jane Brear,2,Round,1,1,0,7.46,2403.0,1201.5,2367.0,-19.0,2132.3992,18.0,18.0,Super Ideal,I,SI1,2.0,IGI,4125.0
8,White Lily,2,Round,1,1,0,10.04,2403.0,1201.5,2367.0,-24.0,2265.6067,18.0,18.0,Super Ideal,I,SI1,2.0,IGI,4125.0
10,Avignon Diamonds,2,Round,1,1,0,14.76,874.0,693.65,861.0,-62.0,1667.7473,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Clermont Diamonds,2,Round,1,1,0,11.4,852.0,676.19,839.0,-63.0,1651.4746,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Emilia Sterling,2,Round,1,1,0,11.93,833.0,661.11,821.0,-64.0,1635.2277,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Jane Brear,2,Round,1,1,0,12.27,874.0,693.65,861.0,-62.0,1662.0001,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Kara,2,Round,1,1,0,15.26,883.56,701.24,870.0,-61.0,1630.403,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Lotus Creation,2,Round,1,1,0,18.86,855.12,678.67,842.0,-63.0,1648.7615,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Magnolia,2,Round,1,1,0,15.5,837.0,664.29,824.0,-63.0,1625.4873,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Marlowe & Co,2,Round,1,1,0,10.24,870.0,690.48,857.0,-62.0,1631.91,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Meridian Crafts,2,Round,1,1,0,13.72,841.0,667.46,828.0,-63.0,1646.9896,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Nebula Stones,2,Round,1,1,0,14.23,864.0,685.71,851.0,-62.0,1611.8027,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Oasis Diamonds,2,Round,1,1,0,14.23,896.0,711.11,883.0,-62.0,1695.7644,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Periwinkle Stones,2,Round,1,1,0,13.97,871.0,691.27,858.0,-62.0,1655.3157,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Riviera Jewels,2,Round,1,1,0,11.46,845.0,670.63,832.0,-64.0,1659.8019,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Roma Diamonds,2,Round,1,1,0,13.57,1598.0,1268.25,1574.0,-30.0,1636.8611,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Silva Diamonds,2,Round,1,1,0,12.6,841.0,667.46,828.0,-63.0,1633.9219,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Simetría,2,Round,1,1,0,14.91,841.0,667.46,828.0,-63.0,1647.0541,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Starlight Crafts,2,Round,1,1,0,10.65,839.0,665.87,826.0,-63.0,1610.0809,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Taiga Gems,2,Round,1,1,0,17.37,833.0,661.11,821.0,-64.0,1655.9763,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Temperley,2,Round,1,1,0,17.26,879.0,697.62,866.0,-61.0,1600.1837,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,United Diam,2,Round,1,1,0,13.73,839.68,666.41,827.0,-63.0,1637.7843,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,Verve Jewels,2,Round,1,1,0,93.83,852.0,676.19,839.0,-63.0,1669.7981,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
10,White Lily,2,Round,1,1,0,13.36,870.0,690.48,857.0,-63.0,1663.7306,18.0,18.0,Ideal,E,VS1,1.26,IGI,3100.0
11,Temperley,2,Round,1,1,0,19.76,2772.0,1237.5,2730.0,-25.0,2637.4932,18.0,18.0,Ideal,J,VS2,2.24,IGI,3980.0
15,Marlowe & Co,2,Round,1,1,0,16.18,338.3,563.83,333.0,-50.0,480.711,18.0,18.0,Super Ideal,F,VS1,0.6,IGI,810.0
16,Roma Diamonds,2,Round,1,1,0,12.32,1909.0,871.69,1880.0,-58.0,3263.4905,18.0,18.0,Ideal,G,VS2,2.19,IGI,6610.0
16,Tamara,2,Round,1,1,0,15.05,1937.0,884.47,1908.0,-58.0,3280.4844,18.0,18.0,Ideal,G,VS2,2.19,IGI,6610.0
16,Temperley,2,Round,1,1,0,17.39,1951.0,890.87,1922.0,-57.0,3254.0732,18.0,18.0,Ideal,G,VS2,2.19,IGI,6610.0
17,Albert's Creations,2,Princess,1,1,0,10.98,666.0,740.0,656.0,-57.0,991.3956,15.0,15.0,Super Ideal,E,VS2,0.9,IGI,1780.0
17,CV Diamonds,2,Princess,1,2,0,12.81,692.0,768.89,682.0,-53.0,940.8798,15.0,15.0,Super Ideal,E,VS2,0.9,IGI,1780.0
17,Hoseki,2,Princess,1,1,0,15.12,682.0,757.78,672.0,-55.0,967.672,15.0,15.0,Super Ideal,E,VS2,0.9,IGI,1780.0
17,Vega Diamonds,2,Princess,1,1,0,18.91,646.0,717.78,636.0,-59.0,1001.7484,15.0,15.0,Super Ideal,E,VS2,0.9,IGI,1780.0
19,Jane Brear,2,Emerald,1,1,0,17.27,1901.0,913.94,1872.0,-60.0,3072.1741,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
19,Nebula Stones,2,Emerald,1,1,0,14.16,1954.18,939.51,1925.0,-60.0,3103.2212,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
19,Periwinkle Stones,2,Emerald,1,1,0,19.37,1877.0,902.4,1849.0,-61.0,3111.906,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
19,Stellar Radiance,2,Emerald,1,1,0,13.67,1884.53,906.02,1856.0,-61.0,3102.697,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
19,Taiga Gems,2,Emerald,1,1,0,14.64,1918.0,922.12,1889.0,-61.0,3129.3635,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
19,Temperley,2,Emerald,1,1,0,12.56,1913.38,919.89,1885.0,-61.0,3138.3201,15.0,15.0,Super Ideal,H,VS1,2.08,IGI,6700.0
23,Hazel Diamonds,2,Emerald,2,2,0,16.04,347.0,568.85,342.0,-22.0,286.0438,14.0,15.0,Very Good,I,VVS2,0.61,IGI,610.0
24,Bayside Gems,2,Oval,1,1,0,12.75,797.0,789.11,785.0,-53.0,1141.823,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
24,Jane Brear,2,Oval,1,1,0,14.51,820.88,812.75,809.0,-53.0,1182.7837,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
24,Oasis Diamonds,2,Oval,1,1,0,16.82,811.92,803.88,800.0,-53.0,1170.775,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
24,Periwinkle Stones,2,Oval,1,1,0,13.63,827.84,819.64,815.0,-52.0,1160.3794,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
24,Serene Peaks Diamonds,2,Oval,1,1,0,14.37,801.97,794.03,790.0,-53.0,1156.6179,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
24,Taiga Gems,2,Oval,1,1,0,13.43,802.0,794.06,790.0,-54.0,1173.6075,15.0,15.0,Super Ideal,D,SI1,1.01,IGI,1960.0
