index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
0,Crown Jewels,0,Round,1,1,0,0.0,474.0,1823.08,467.0,-24.0,527.4502,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
0,Eccles Diamonds,0,Round,1,1,0,0.0,481.0,1850.0,474.0,-27.0,554.8057,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
0,Jane Brear,0,Round,1,1,0,0.0,915.0,3519.23,901.0,46.0,530.2663,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
0,Michelle Kennedy,0,Round,2,1,0,0.0,881.0,3388.46,868.0,36.0,549.2341,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
0,Temperley,0,Round,1,1,0,0.0,915.0,3519.23,901.0,41.0,548.007,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
0,White Lily,0,Round,1,1,0,0.0,927.0,3565.38,913.0,40.0,560.8053,18.0,18.0,Super Ideal,E,VS2,0.26,GIA,612.86
1,Alice Designs Jewelry,0,Princess,1,1,0,0.0,3506.0,3506.0,3453.0,-47.0,5575.0503,14.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
1,Aurora Light,0,Princess,1,1,0,0.0,4770.0,4770.0,4698.0,-36.0,6377.9282,14.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
1,Helene Mitchell,0,Princess,2,3,0,0.0,2968.0,2968.0,2923.0,-52.0,5308.3853,12.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
1,Isabel Ervin,0,Princess,2,2,0,0.0,3915.0,3915.0,3856.0,-33.0,4934.6826,0.0,0.0,Very Good,G,VS1,1.0,GIA,4410.0
1,Jane Brear,0,Princess,2,3,1,0.0,7825.0,7825.0,7708.0,26.0,5287.3027,13.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
1,Michelle Kennedy,0,Princess,2,3,0,0.0,2989.0,2989.0,2944.0,-54.0,5577.3467,13.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
1,White Lily,0,Princess,1,3,0,0.0,5471.0,5471.0,5389.0,-13.0,5325.938,13.0,15.0,Very Good,G,VS1,1.0,GIA,4410.0
2,Alice Designs Jewelry,0,Oval,1,2,1,0.0,828.0,2070.0,816.0,-18.0,818.8842,15.0,15.0,Ideal,F,VS2,0.4,GIA,1020.0
2,Celestine Jewels,0,Oval,1,2,1,0.0,715.0,1787.5,704.0,-28.0,806.286,15.0,15.0,Ideal,F,VS2,0.4,GIA,1020.0
2,Constellation,0,Oval,2,2,2,0.0,710.0,1775.0,699.0,-36.0,900.9844,15.0,15.0,Ideal,F,VS2,0.4,GIA,1020.0
2,Eclipse Diamonds,0,Oval,1,2,0,0.0,732.0,1830.0,721.0,-33.0,896.6837,15.0,15.0,Ideal,F,VS2,0.4,GIA,1020.0
