index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
3,Avignon Diamonds,2,Round,1,1,0,11.48,2842.0,1359.81,2799.0,-64.0,5664.373,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Cirrus Gems,2,Round,1,1,0,94.8,2797.0,1338.28,2755.0,-63.0,5384.3765,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Ember Star,2,Round,1,1,0,13.46,2794.11,1336.89,2752.0,-65.0,5664.1978,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Jane Brear,2,Round,1,1,0,11.29,2805.0,1342.11,2763.0,-63.0,5499.7104,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,KIYO,2,Round,1,1,0,16.26,2789.0,1334.45,2747.0,-64.0,5599.2236,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Michelle Kennedy,2,Round,1,1,0,13.91,2830.78,1354.44,2788.0,-64.0,5603.1479,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Simetría,2,Round,1,1,0,13.42,2809.55,1344.28,2767.0,-65.0,5702.1787,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Taiga Gems,2,Round,1,1,0,14.58,2848.0,1362.68,2805.0,-63.0,5448.3501,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Temperley,2,Round,1,1,0,13.3,2831.75,1354.9,2789.0,-63.0,5464.9551,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Tierra Mia Diamonds,2,Round,1,1,0,17.61,2863.6,1370.14,2821.0,-62.0,5446.2993,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Verve Jewels,2,Round,1,1,0,17.39,2822.0,1350.24,2780.0,-63.0,5428.9399,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,Vespera Gems,2,Round,1,1,0,10.44,2810.0,1344.5,2768.0,-64.0,5525.2651,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
3,White Lily,2,Round,1,1,0,17.35,2830.78,1354.44,2788.0,-63.0,5442.127,18.0,18.0,Super Ideal,E,VVS2,2.09,IGI,11520.0
4,Diamonds by Zoya,2,Oval,2,2,0,82.37,312.0,557.14,307.0,-56.0,474.1293,15.0,15.0,Super Ideal,F,VS1,0.56,IGI,680.0
12,Cirrus Gems,2,Round,1,1,0,19.4,1358.0,771.59,1338.0,-57.0,2243.9026,18.0,18.0,Ideal,G,VS2,1.76,IGI,4710.0
12,Fabiola,2,Round,1,1,0,17.53,1380.0,784.09,1359.0,-54.0,2160.2183,18.0,18.0,Ideal,G,VS2,1.76,IGI,4710.0
12,Periwinkle Stones,2,Round,1,1,0,17.67,1389.0,789.2,1368.0,-55.0,2192.0496,18.0,18.0,Ideal,G,VS2,1.76,IGI,4710.0
12,White Lily,2,Round,1,1,0,17.58,1660.0,943.18,1635.0,-47.0,2227.2078,18.0,18.0,Ideal,G,VS2,1.76,IGI,4710.0
13,Albert's Creations,2,Round,1,1,0,13.74,3730.0,1492.0,3674.0,-63.0,7276.5879,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Atkinson Crafts,2,Round,1,1,0,13.47,3802.0,1520.8,3745.0,-62.0,7167.293,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Avignon Diamonds,2,Round,1,1,0,16.79,3620.0,1448.0,3566.0,-63.0,7058.2676,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Diamonds by Zoya,2,Round,1,1,0,11.91,3549.0,1419.6,3496.0,-64.0,7123.3906,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Ember Star,2,Round,1,1,0,14.64,3573.0,1429.2,3519.0,-65.0,7335.1895,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Jane Brear,2,Round,1,1,0,10.97,3722.0,1488.8,3666.0,-62.0,7038.9224,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Marlowe & Co,2,Round,1,1,0,14.23,3718.0,1487.2,3662.0,-64.0,7383.9326,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Michelle Kennedy,2,Round,1,1,0,14.42,3755.13,1502.05,3699.0,-64.0,7441.957,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,N. B. Diamonds,2,Round,1,1,0,12.13,3607.0,1442.8,3553.0,-64.0,7244.5142,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Periwinkle Stones,2,Round,1,1,0,16.74,3749.0,1499.6,3693.0,-63.0,7324.9561,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Serenade Diamonds,2,Round,1,1,0,13.45,3549.0,1419.6,3496.0,-65.0,7219.5938,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Starlit Stones,2,Round,1,1,0,65.19,3714.0,1485.6,3658.0,-64.0,7355.0332,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Tamara,2,Round,1,1,0,12.4,3737.0,1494.8,3681.0,-64.0,7469.9932,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Temperley,2,Round,1,1,0,11.22,3737.22,1494.89,3681.0,-62.0,7097.6934,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,Tierra Mia Diamonds,2,Round,1,1,0,17.05,3625.0,1450.0,3571.0,-65.0,7311.6826,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
13,White Lily,2,Round,1,1,0,12.37,3720.0,1488.0,3664.0,-62.0,7076.8462,18.0,18.0,Super Ideal,E,VS1,2.5,IGI,13200.0
15,Jane Brear,2,Princess,1,1,0,13.94,890.83,832.55,877.0,-65.0,1598.0775,15.0,15.0,Super Ideal,F,VVS2,1.07,IGI,2460.0
15,Lotus Creation,2,Princess,1,1,0,17.74,849.33,793.77,837.0,-66.0,1566.5746,15.0,15.0,Super Ideal,F,VVS2,1.07,IGI,2460.0
15,Meridian Crafts,2,Princess,1,1,0,14.85,866.0,809.35,853.0,-66.0,1604.4448,15.0,15.0,Super Ideal,F,VVS2,1.07,IGI,2460.0
15,Michelle Kennedy,2,Princess,1,1,0,16.18,890.83,832.55,877.0,-63.0,1544.6166,15.0,15.0,Super Ideal,F,VVS2,1.07,IGI,2460.0
