index,retailer,lab,shape,polish,symmetry,fluorescence,discount_%,retail_price,price_carat,wire_price,fair_price_diif,hidden_price,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price
2,Temperley,2,Round,1,1,0,13.35,431.0,862.0,425.0,-23.0,399.5579,16.0,18.0,Very Good,I,VS2,0.5,IGI,530.0
6,Temperley,2,Round,1,1,0,17.11,1964.13,869.08,1935.0,-59.0,3428.0366,18.0,18.0,Ideal,H,VS2,2.26,IGI,5910.0
9,Artemis Stones,2,Round,1,1,0,20.68,1550.03,895.97,1527.0,-54.0,2417.4661,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Cirrus Gems,2,Round,1,1,0,19.78,1540.38,890.39,1517.0,-55.0,2444.2524,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Ember Star,2,Round,1,1,0,20.9,1519.15,878.12,1496.0,-56.0,2475.3242,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Eternity Fine Jewelers,2,Round,1,1,0,15.51,1603.94,927.13,1580.0,-53.0,2446.4441,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Jane Brear,2,Round,2,1,0,14.47,1601.95,925.98,1578.0,-54.0,2470.8948,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Taiga Gems,2,Round,1,1,0,12.86,1546.0,893.64,1523.0,-56.0,2491.0461,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,Westport Jewelry,2,Round,1,1,0,14.47,1531.0,884.97,1508.0,-55.0,2453.4492,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
9,White Lily,2,Round,1,1,0,16.71,1598.96,924.25,1575.0,-53.0,2424.5891,18.0,18.0,Ideal,G,VS1,1.73,IGI,4860.0
11,White Lily,2,Round,1,1,0,13.46,327.0,389.29,322.0,-61.0,602.8475,14.0,18.0,Very Good,F,VS1,0.84,IGI,1620.0
13,Michelle Kennedy,2,Round,1,1,0,12.99,1464.0,903.7,1442.0,-57.0,2433.1758,18.0,18.0,Super Ideal,F,VS1,1.62,IGI,4850.0
13,Silva Diamonds,2,Round,1,1,0,13.78,1442.0,890.12,1420.0,-57.0,2414.978,18.0,18.0,Super Ideal,F,VS1,1.62,IGI,4850.0
13,Temperley,2,Round,1,1,0,12.97,1469.0,906.79,1447.0,-56.0,2376.0044,18.0,18.0,Super Ideal,F,VS1,1.62,IGI,4850.0
13,Verve Jewels,2,Round,1,1,0,93.79,1422.0,877.78,1401.0,-57.0,2382.5134,18.0,18.0,Super Ideal,F,VS1,1.62,IGI,4850.0
13,White Lily,2,Round,1,1,0,17.0,1490.0,919.75,1468.0,-56.0,2444.0532,18.0,18.0,Super Ideal,F,VS1,1.62,IGI,4850.0
14,White Lily,2,Round,1,1,0,14.13,811.0,638.58,799.0,-48.0,1123.8617,18.0,18.0,Super Ideal,J,VS1,1.27,IGI,1710.0
20,Jane Brear,2,Round,1,1,0,10.42,1185.0,774.51,1167.0,-57.0,1989.8043,18.0,18.0,Super Ideal,F,SI1,1.53,IGI,3810.0
20,Marlowe & Co,2,Round,1,1,0,20.0,1175.0,767.97,1157.0,-57.0,1977.5693,18.0,18.0,Super Ideal,F,SI1,1.53,IGI,3810.0
20,Periwinkle Stones,2,Round,1,1,0,20.37,1176.0,768.63,1158.0,-58.0,2006.7258,18.0,18.0,Super Ideal,F,SI1,1.53,IGI,3810.0
